key,scope,raw_w1,norm_w1,raw_kl,norm_kl,raw_overlap,norm_overlap,source_a,source_b
AB42_AB40_F,all,0.015187909036874895,0.0944926997765175,1.5204786085984696,1.6864044828245408,0.44912488698078523,0.6355601860999838,C2N,UPENN
AB42_AB40_F,CN,0.014977025704532358,0.09271623795670982,1.4871850262769313,0.503840062839228,0.41358150603433624,0.6489036206017338,C2N,UPENN
AB42_AB40_F,MCI,0.01270371264527214,0.13091156615288219,3.2873815276591305,4.555005862875094,0.3359013867488444,0.44437596302003085,C2N,UPENN
AB42_AB40_F,AD,0.020708228862463075,0.10085723909154326,12.239983031122561,6.910355720501761,0.20057512580877068,0.3271028037383178,C2N,UPENN
pT217_F,all,1.7932722099986258,0.041008338618843884,7.188049104844269,1.3693975566403334,0.08992657128016246,0.5108608395901213,C2N,UPENN
pT217_F,CN,1.0136337124927486,0.024455429005861052,8.657514988537768,1.4745319087922222,0.011320754716981133,0.36512803234501345,C2N,UPENN
pT217_F,MCI,2.7285004689599104,0.09321956204317866,11.857414979276221,2.532219965773927,0.11111111111111112,0.4852693602693603,C2N,UPENN
pT217_F,AD,4.669416637962948,0.12148230937551058,17.67272149874798,4.16938077484382,0.11396011396011396,0.30840455840455844,C2N,UPENN
pT217_AB42_F,all,0.023823872234385014,0.025313406467523253,3.265812352346065,0.2886373502551023,0.3626038502306467,0.7399406654705015,C2N,UPENN
pT217_AB42_F,CN,0.01593207878096233,0.02102731174028491,3.693971870131766,1.1141036970208713,0.21772237196765498,0.7489218328840971,C2N,UPENN
pT217_AB42_F,MCI,0.03800695217922617,0.0935974049202563,6.994465845285017,3.349216269656621,0.37269975786924936,0.5846852300242131,C2N,UPENN
pT217_AB42_F,AD,0.04212011934941855,0.06113790959492538,7.069477704009596,4.3281399590111915,0.3292595255212078,0.31056793673616107,C2N,UPENN
NfL_Q,all,,,,,,,C2N,UPENN
NfL_Q,CN,,,,,,,C2N,UPENN
NfL_Q,MCI,,,,,,,C2N,UPENN
NfL_Q,AD,,,,,,,C2N,UPENN
GFAP_Q,all,,,,,,,C2N,UPENN
GFAP_Q,CN,,,,,,,C2N,UPENN
GFAP_Q,MCI,,,,,,,C2N,UPENN
GFAP_Q,AD,,,,,,,C2N,UPENN
