name,ssim,psnr,mae,mse
114_S_6429,0.924275815486908,26.060819625854492,0.024696525186300278,0.002476954832673073
116_S_6750,0.9023234844207764,24.904273986816406,0.03067963384091854,0.0032327522058039904
130_S_6688,0.9256392121315002,31.11026954650879,0.013271981850266457,0.0007744135218672454
070_S_4856,0.9014834761619568,23.390098571777344,0.035989414900541306,0.004581315442919731
033_S_6889,0.8704254031181335,27.01498794555664,0.024397777393460274,0.001988388830795884
941_S_6384,0.8734602332115173,28.593372344970703,0.01940407231450081,0.0013824920170009136
033_S_6705,0.844778835773468,25.744783401489258,0.02362844906747341,0.002663923194631934
014_S_6145,0.9527106881141663,34.135826110839844,0.00908730085939169,0.00038584883441217244
006_S_6770,0.8668672442436218,22.67339324951172,0.03795912489295006,0.005403322633355856
033_S_10793,0.8720082640647888,27.048921585083008,0.02054181508719921,0.0019729125779122114
019_S_6573,0.8827142715454102,28.682174682617188,0.018685556948184967,0.0013545112451538444
114_S_6113,0.9220139384269714,25.4289608001709,0.026577025651931763,0.002864863257855177
036_S_10133,0.9063087105751038,26.22132110595703,0.02406413108110428,0.0023870859295129776
035_S_10274,0.9100223779678345,27.621070861816406,0.02039194107055664,0.0017293898854404688
941_S_6514,0.9160776138305664,33.32044219970703,0.009335990995168686,0.00046553852735087276
036_S_6466,0.9049161672592163,28.68657875061035,0.01652773842215538,0.0013531384756788611
127_S_6024,0.9080429077148438,27.718727111816406,0.01746930368244648,0.0016909361584112048
127_S_6203,0.9460175633430481,33.357887268066406,0.009525623172521591,0.00046154213487170637
006_S_6441,0.889296293258667,28.020936965942383,0.018731437623500824,0.001577270682901144
007_S_4488,0.8881092667579651,28.541866302490234,0.01696152053773403,0.0013989866711199284
094_S_6250,0.9341840744018555,31.81014060974121,0.010163495317101479,0.0006591523997485638
094_S_6269,0.9054930210113525,22.8885555267334,0.036993324756622314,0.005142146721482277
137_S_6919,0.8944680094718933,31.728811264038086,0.012326382100582123,0.0006716129137203097
014_S_10157,0.9440692067146301,29.70034408569336,0.012834295630455017,0.0010714347008615732
033_S_10249,0.8912266492843628,28.977506637573242,0.014298073947429657,0.001265463070012629
035_S_10241,0.8845387101173401,30.398006439208984,0.013095180504024029,0.000912429706659168
003_S_6260,0.8497467637062073,22.078351974487305,0.044871896505355835,0.006196760106831789
123_S_10648,0.9013639688491821,23.296463012695312,0.03179997578263283,0.004681161139160395
012_S_6760,0.8953847289085388,30.67086410522461,0.013898983597755432,0.0008568670600652695
941_S_6854,0.93056321144104,30.296985626220703,0.014609050936996937,0.0009339022799395025
011_S_6465,0.897197425365448,31.601943969726562,0.013315821066498756,0.0006915213889442384
035_S_6488,0.9310836791992188,28.908288955688477,0.017564380541443825,0.0012857932597398758
022_S_10306,0.9638249278068542,34.82619094848633,0.007976546883583069,0.00032914019539020956
067_S_6957,0.9302762150764465,25.218334197998047,0.031129103153944016,0.0030072296503931284
031_S_4721,0.9178810715675354,30.40574073791504,0.01319453027099371,0.0009108060039579868
057_S_6869,0.8786644339561462,29.461641311645508,0.01448014285415411,0.001131972298026085
003_S_6644,0.8556913137435913,21.929248809814453,0.03995895013213158,0.006413202732801437
036_S_6897,0.8880935907363892,30.906496047973633,0.013039120472967625,0.0008116159006021917
006_S_6243,0.8975958228111267,29.133956909179688,0.018996678292751312,0.0012206868268549442
033_S_10099,0.8784315586090088,26.987804412841797,0.024787306785583496,0.00200087227858603
941_S_6575,0.867657482624054,30.37595558166504,0.014010057784616947,0.0009170742123387754
003_S_6833,0.9304869771003723,31.47516632080078,0.010333492420613766,0.0007120055379346013
020_S_6185,0.89527827501297,24.01333999633789,0.03550263121724129,0.003968861885368824
