method,n,ssim_mean,ssim_std,psnr_mean,psnr_std,mae_mean,mae_std,mse_mean,mse_std,ncc_mean,ncc_std
PASTA,43,0.7941324163314908,0.09825430842973244,23.352488260393216,3.6402800634942083,0.04373679361420146,0.026287822986572545,0.007142673435671153,0.009965975991095591,0.925588380353388,0.20713604148264472
Legacy,43,0.9020588716795278,0.02908183459640955,28.332371431683807,3.5043323413900582,0.020261789918854235,0.009604383158537433,0.002009222522706172,0.0016893931923079742,0.9829527144548279,0.007093728364548661
Plasma (Ours),43,0.901644020579582,0.02775484568475468,28.264345465908665,3.35895659196945,0.02039780837533094,0.009581342088353316,0.0019985418151212617,0.0016295165417308946,0.9833031516539184,0.006643103824212009
FiCD,43,0.005894847993933877,0.0007924309471796663,4.298690762630729,0.16466295076622706,0.5580231325570927,0.01880100545807163,0.3117350738609666,0.021043544001126152,,
