ssim,psnr,mae,mse,ncc,subject,method
0.7650294303894043,19.227668499073157,0.06964171974501264,0.011946292665919078,0.9683673812601254,003_S_6260,PASTA
0.7992490530014038,20.875389645314947,0.053335033705670706,0.008174496937623295,0.9803920799358784,003_S_6644,PASTA
0.8874870538711548,27.72389503498843,0.019846052426227667,0.0016889255140854753,0.9791216110944465,003_S_6833,PASTA
0.7961130142211914,23.25157857812073,0.0441661867425351,0.004729793086997052,0.9743354312049978,006_S_6243,PASTA
0.836833119392395,28.20853890001485,0.020935801522906965,0.0015105882769635562,0.9713056042213648,006_S_6441,PASTA
0.7700312733650208,21.17211906865409,0.05148607004719041,0.007634631733540164,0.9424233020303694,006_S_6770,PASTA
0.7943494319915771,20.967777275975944,0.05505529933556046,0.008002437158471664,0.9775917920192533,007_S_4488,PASTA
0.8054768443107605,24.791827489932547,0.03602103910248233,0.00331754827368533,0.9749629653184052,011_S_6465,PASTA
0.8454384803771973,28.074918999497026,0.022685088170703027,0.0015577870889334356,0.9771536410746919,012_S_6760,PASTA
0.7503424882888794,18.95026620831311,0.0627242514742899,0.012734250218354021,0.9527138358147749,014_S_10157,PASTA
0.7959415912628174,18.720811500807145,0.07304193442473461,0.013425140822762156,0.9785772430583679,014_S_6145,PASTA
0.8246142268180847,27.19040751008358,0.024975645600657567,0.0019096740603538845,0.9714410614326373,019_S_6573,PASTA
0.8219258785247803,22.43415977210183,0.04905765894755188,0.005709315233941957,0.9767678546041271,020_S_6185,PASTA
0.893074631690979,27.427779107081285,0.022452500439887755,0.001808098514135265,0.973373286148575,022_S_10306,PASTA
0.8633149266242981,27.101880672754852,0.022676973178091035,0.001949000420083291,0.9751369600800756,031_S_4721,PASTA
0.7688305377960205,20.724438676010244,0.061580407672461625,0.008463619537033664,0.9759197585662942,033_S_10099,PASTA
0.8202751278877258,24.51661930047034,0.02755967935401993,0.0035345820690948506,0.9534721308485727,033_S_10249,PASTA
0.7575503587722778,22.23102927743332,0.039604958356915444,0.005982697883843876,0.9360289984767207,033_S_10793,PASTA
0.7687512636184692,21.580016226864913,0.04675505006491215,0.006950217207230492,0.9696290145378561,033_S_6705,PASTA
0.7713699340820312,24.842448475764126,0.034738868625794776,0.0032791037090090444,0.9674767056688529,033_S_6889,PASTA
0.7862803339958191,24.08615773716741,0.03425706492807488,0.003902871263514958,0.973947004068469,035_S_10241,PASTA
0.8712294101715088,27.449329398005034,0.023928603475838972,0.0017991487034993425,0.9820227595485684,035_S_10274,PASTA
0.8578767776489258,28.134834998207193,0.021369949435800395,0.0015364431664106274,0.9772863701405053,035_S_6488,PASTA
0.7920328974723816,22.648718000206763,0.04180138607969302,0.005434107179685064,0.9465080267229399,036_S_10133,PASTA
0.8103687167167664,22.75102505166384,0.042333708557205744,0.005307591560245817,0.9801256905529484,036_S_6466,PASTA
0.8217896819114685,27.337778763231437,0.02204730894991649,0.001845959309666512,0.9770681538274862,036_S_6897,PASTA
0.7702638506889343,24.25860614596119,0.031124334015922732,0.003750933679275301,0.9523246105240207,057_S_6869,PASTA
0.8633010387420654,22.2101277591327,0.05043038121196751,0.006011560526383633,0.9833807043872339,067_S_6957,PASTA
0.38850608468055725,13.4594124443327,0.13394640075970174,0.04508776995205062,0.0,070_S_4856,PASTA
0.8622584939002991,26.202286484958744,0.02639771406970311,0.0023975703075844674,0.9751183804371104,094_S_6250,PASTA
0.812514066696167,22.004072927333034,0.0462503991501882,0.0063036589354891264,0.9667159879507855,094_S_6269,PASTA
0.81898033618927,19.428400775646825,0.06499924394028356,0.011406697447762067,0.9809512583943305,114_S_6113,PASTA
0.8054969310760498,19.625811926051796,0.06169497367177748,0.010899806983025244,0.9699555442435351,114_S_6429,PASTA
0.8422843813896179,22.687907357053035,0.04469042990372474,0.005385292096868641,0.9765027114035177,116_S_6750,PASTA
0.8225013613700867,20.679935316374895,0.05198160347724047,0.008550794483047462,0.9764437169588415,123_S_10648,PASTA
0.7917855381965637,23.994121900060087,0.031975799308199125,0.0039864636646759245,0.9587705621968985,127_S_6024,PASTA
0.837971568107605,25.734964483545745,0.02647897524554377,0.002669952601821405,0.974170838087942,127_S_6203,PASTA
0.3814637064933777,12.760457379757392,0.14668112341107792,0.052960766501550995,0.0,130_S_6688,PASTA
0.8249247074127197,27.007457939319927,0.023557688076741506,0.001991838883089226,0.9770941033761352,137_S_6919,PASTA
0.7988290786743164,25.796034589895456,0.031009938905286815,0.0026326707059191163,0.9760523596659588,941_S_6384,PASTA
0.819614052772522,24.442165006774403,0.032201285887034976,0.0035957004076513067,0.9793445217106445,941_S_6514,PASTA
0.7705835700035095,25.417325269276418,0.02985049750294165,0.0028725491815267327,0.9743150412048356,941_S_6575,PASTA
0.8608386516571045,26.02649332369574,0.023333096509191634,0.0024966097810544276,0.9660113523965832,941_S_6854,PASTA
0.8497467637062073,22.078353247186552,0.04487189626498979,0.006196759985662328,0.9740368289287191,003_S_6260,Plasma (Ours)
0.8556913137435913,21.929250321374425,0.039958946375557455,0.006413202716609184,0.984376460566023,003_S_6644,Plasma (Ours)
0.9304869771003723,31.475166595847732,0.010333492066958232,0.0007120054868654352,0.9847204473803031,003_S_6833,Plasma (Ours)
0.8975958228111267,29.133957402253984,0.018996677593718765,0.0012206868322008804,0.9876422246845596,006_S_6243,Plasma (Ours)
0.889296293258667,28.02093766776741,0.01873143733196953,0.00157727069075625,0.9804126541992634,006_S_6441,Plasma (Ours)
0.8668672442436218,22.673391431693037,0.037959122244974684,0.005403322094839258,0.9619780663696416,006_S_6770,Plasma (Ours)
0.8881092667579651,28.541864268283746,0.016961520046830464,0.001398986659560319,0.9868869823317232,007_S_4488,Plasma (Ours)
0.897197425365448,31.601944185767845,0.013315820544062523,0.0006915213315008189,0.9875877591676846,011_S_6465,Plasma (Ours)
0.8953847289085388,30.670865497062927,0.01389898291685145,0.0008568670648356493,0.983260048931624,012_S_6760,Plasma (Ours)
0.9440692067146301,29.70034266318933,0.012834295924619236,0.0010714347645047236,0.9845679277030219,014_S_10157,Plasma (Ours)
0.9527106881141663,34.135828052643255,0.009087300879673847,0.0003858488362620377,0.9896974904773173,014_S_6145,Plasma (Ours)
0.8827142715454102,28.682173939923565,0.01868555722552324,0.0013545112174277243,0.9822429413670672,019_S_6573,Plasma (Ours)
0.89527827501297,24.01333975743735,0.03550262878181554,0.003968862235755854,0.987377480414036,020_S_6185,Plasma (Ours)
0.9638249278068542,34.826191044120776,0.007976546594901693,0.0003291401749055404,0.9913666785647987,022_S_10306,Plasma (Ours)
0.9178810715675354,30.40574154504774,0.013194529962329563,0.0009108059215572356,0.9823481975951537,031_S_4721,Plasma (Ours)
